ref,start,end,new_start,new_end,before,after,rule
Gen.1.4,24,27,24,28,daß,dass,orthography:wordlist
Gen.1.10,94,97,94,98,daß,dass,orthography:wordlist
Gen.1.12,165,168,165,169,daß,dass,orthography:wordlist
Gen.1.18,105,108,105,109,daß,dass,orthography:wordlist
Gen.1.21,182,185,182,186,daß,dass,orthography:wordlist
Gen.1.25,156,159,156,160,daß,dass,orthography:wordlist
Gen.1.27,84,88,84,88,Weib,Frau,word:Weib-Frau
Gen.2.4,93,99,93,97,Jehova,HERR,name:unresolved-case
Gen.2.5,84,91,84,92,sproßte,sprosste,orthography:wordlist
Gen.2.5,98,104,99,107,Jehova,der HERR,name:subject-Lord-God
Gen.2.7,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.8,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.9,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.14,99,103,99,104,Fluß,Fluss,orthography:wordlist
Gen.2.15,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.16,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.17,129,138,129,139,gewißlich,gewisslich,orthography:wordlist
Gen.2.18,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.18,42,45,44,48,daß,dass,orthography:wordlist
Gen.2.19,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.21,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.21,124,133,126,136,verschloß,verschloss,orthography:wordlist
Gen.2.22,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.22,77,80,79,83,ein,eine,grammar:Frau-determiner
Gen.2.22,81,85,84,88,Weib,Frau,word:Weib-Frau
Gen.2.24,64,70,64,70,seinem,seiner,grammar:Frau-determiner
Gen.2.24,71,76,71,75,Weibe,Frau,word:Weib-Frau
Gen.2.25,42,46,42,47,sein,seine,grammar:Frau-determiner
Gen.2.25,47,51,48,52,Weib,Frau,word:Weib-Frau
Gen.3.1,63,69,63,67,Jehova,HERR,name:unresolved-case
Gen.3.1,108,111,106,109,dem,der,grammar:Frau-determiner
Gen.3.1,112,117,110,114,Weibe,Frau,word:Weib-Frau
Gen.3.2,4,7,4,7,das,die,grammar:Frau-determiner
Gen.3.2,8,12,8,12,Weib,Frau,word:Weib-Frau
Gen.3.3,139,142,139,143,daß,dass,orthography:wordlist
Gen.3.4,27,30,27,30,dem,der,grammar:Frau-determiner
Gen.3.4,31,36,31,35,Weibe,Frau,word:Weib-Frau
Gen.3.5,19,22,19,23,daß,dass,orthography:wordlist
Gen.3.6,4,7,4,7,das,die,grammar:Frau-determiner
Gen.3.6,8,12,8,12,Weib,Frau,word:Weib-Frau
Gen.3.6,18,21,18,22,daß,dass,orthography:wordlist
Gen.3.6,51,54,52,56,daß,dass,orthography:wordlist
Gen.3.6,87,90,89,93,daß,dass,orthography:wordlist
Gen.3.7,58,61,58,62,daß,dass,orthography:wordlist
Gen.3.8,26,33,26,35,Jehovas,des HERRN,name:genitive
Gen.3.8,109,113,111,116,sein,seine,grammar:Frau-determiner
Gen.3.8,114,118,117,121,Weib,Frau,word:Weib-Frau
Gen.3.8,154,161,157,166,Jehovas,des HERRN,name:genitive
Gen.3.9,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.3.11,38,41,38,42,daß,dass,orthography:wordlist
Gen.3.12,23,26,23,26,Das,Die,grammar:Frau-determiner
Gen.3.12,27,31,27,31,Weib,Frau,word:Weib-Frau
Gen.3.12,33,36,33,36,das,die,grammar:Frau-relative
Gen.3.13,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.3.13,26,29,28,31,dem,der,grammar:Frau-determiner
Gen.3.13,30,35,32,36,Weibe,Frau,word:Weib-Frau
Gen.3.13,63,66,64,67,das,die,grammar:Frau-determiner
Gen.3.13,67,71,68,72,Weib,Frau,word:Weib-Frau
Gen.3.14,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.3.15,50,53,50,53,dem,der,grammar:Frau-determiner
Gen.3.15,54,59,54,58,Weibe,Frau,word:Weib-Frau
Gen.3.16,3,6,3,6,dem,der,grammar:Frau-determiner
Gen.3.16,7,12,7,11,Weibe,Frau,word:Weib-Frau
Gen.3.17,46,52,46,52,deines,deiner,grammar:Frau-determiner
Gen.3.17,53,59,53,57,Weibes,Frau,word:Weib-Frau
Gen.3.20,19,25,19,25,seinem,seiner,grammar:Frau-determiner
Gen.3.20,26,31,26,30,Weibe,Frau,word:Weib-Frau
Gen.3.21,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.3.21,32,38,34,40,seinem,seiner,grammar:Frau-determiner
Gen.3.21,39,44,41,45,Weibe,Frau,word:Weib-Frau
Gen.3.22,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.3.22,110,113,112,116,daß,dass,orthography:wordlist
Gen.3.23,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.4.1,29,33,29,34,sein,seine,grammar:Frau-determiner
Gen.4.1,34,38,35,39,Weib,Frau,word:Weib-Frau
Gen.4.1,128,134,129,138,Jehova,dem HERRN,name:dative-preposition
Gen.4.3,60,66,60,65,Jehova,HERRN,name:existing-oblique-article
Gen.4.4,82,88,82,90,Jehova,der HERR,name:subject-before-finite-verb
Gen.4.6,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.4.7,17,20,17,21,daß,dass,orthography:wordlist
Gen.4.9,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.4.13,19,25,19,28,Jehova,dem HERRN,name:dative-preposition
Gen.4.15,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.4.15,102,108,104,112,Jehova,der HERR,name:subject-before-finite-verb
Gen.4.15,141,144,145,149,daß,dass,orthography:wordlist
Gen.4.16,36,43,36,45,Jehovas,des HERRN,name:genitive
Gen.4.17,18,22,18,23,sein,seine,grammar:Frau-determiner
Gen.4.17,23,27,24,28,Weib,Frau,word:Weib-Frau
Gen.4.19,26,32,26,32,Weiber,Frauen,word:Weib-Frau
Gen.4.23,28,35,28,34,Weibern,Frauen,word:Weib-Frau
Gen.4.23,71,77,70,76,Weiber,Frauen,word:Weib-Frau
Gen.4.25,27,31,27,32,sein,seine,grammar:Frau-determiner
Gen.4.25,32,36,33,37,Weib,Frau,word:Weib-Frau
Gen.4.26,108,115,108,117,Jehovas,des HERRN,name:genitive
Gen.5.2,9,13,9,13,Weib,Frau,word:Weib-Frau
Gen.5.29,148,154,148,153,Jehova,HERRN,name:existing-oblique-article
Gen.6.2,27,30,27,31,daß,dass,orthography:wordlist
Gen.6.2,92,99,93,99,Weibern,Frauen,word:Weib-Frau
Gen.6.3,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.6.5,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.6.5,16,19,18,22,daß,dass,orthography:wordlist
Gen.6.6,13,19,13,22,Jehova,den HERRN,name:accusative-attested-verb
Gen.6.6,21,24,24,28,daß,dass,orthography:wordlist
Gen.6.7,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.6.7,201,204,203,207,daß,dass,orthography:wordlist
Gen.6.8,34,41,34,43,Jehovas,des HERRN,name:genitive
Gen.6.18,102,106,102,107,dein,deine,grammar:Frau-determiner
Gen.6.18,107,111,108,112,Weib,Frau,word:Weib-Frau
Gen.6.18,120,126,121,127,Weiber,Frauen,word:Weib-Frau
Gen.6.21,82,85,82,86,daß,dass,orthography:wordlist
Gen.7.1,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.7.5,29,35,29,37,Jehova,der HERR,name:subject-subordinate-clause
Gen.7.7,29,33,29,34,sein,seine,grammar:Frau-determiner
Gen.7.7,34,38,35,39,Weib,Frau,word:Weib-Frau
Gen.7.7,47,53,48,54,Weiber,Frauen,word:Weib-Frau
Gen.7.13,83,86,83,86,das,die,grammar:Frau-determiner
Gen.7.13,87,91,87,91,Weib,Frau,word:Weib-Frau
Gen.7.13,111,117,111,117,Weiber,Frauen,word:Weib-Frau
Gen.7.16,114,120,114,122,Jehova,der HERR,name:subject-before-finite-verb
Gen.7.16,121,127,123,130,schloß,schloss,orthography:wordlist
Gen.8.11,125,128,125,129,daß,dass,orthography:wordlist
Gen.8.16,27,31,27,32,dein,deine,grammar:Frau-determiner
Gen.8.16,32,36,33,37,Weib,Frau,word:Weib-Frau
Gen.8.16,61,67,62,68,Weiber,Frauen,word:Weib-Frau
Gen.8.17,123,126,123,127,laß,lass,orthography:wordlist
Gen.8.17,148,151,149,153,daß,dass,orthography:wordlist
Gen.8.18,41,45,41,46,sein,seine,grammar:Frau-determiner
Gen.8.18,46,50,47,51,Weib,Frau,word:Weib-Frau
Gen.8.18,59,65,60,66,Weiber,Frauen,word:Weib-Frau
Gen.8.20,15,21,15,24,Jehova,dem HERRN,name:dative-altar-recipient
Gen.8.21,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.8.21,43,49,45,53,Jehova,der HERR,name:subject-before-finite-verb
Gen.9.26,28,34,28,36,Jehova,der HERR,name:subject-after-auxiliary
Gen.10.9,32,38,32,41,Jehova,dem HERRN,name:presence-before-Lord
Gen.10.9,93,99,96,105,Jehova,dem HERRN,name:presence-before-Lord
Gen.11.3,44,48,44,49,laßt,lasst,orthography:wordlist
Gen.11.4,135,138,135,139,daß,dass,orthography:wordlist
Gen.11.5,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.11.6,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.11.7,8,12,8,13,laßt,lasst,orthography:wordlist
Gen.11.7,70,73,71,75,daß,dass,orthography:wordlist
Gen.11.8,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.11.9,59,65,59,67,Jehova,der HERR,name:subject-after-auxiliary
Gen.11.9,125,131,127,131,Jehova,HERR,name:unresolved-case
Gen.11.29,32,38,32,38,Weiber,Frauen,word:Weib-Frau
Gen.11.29,49,52,49,52,des,der,grammar:Frau-determiner
Gen.11.29,53,59,53,57,Weibes,Frau,word:Weib-Frau
Gen.11.29,91,94,89,92,des,der,grammar:Frau-determiner
Gen.11.29,95,101,93,97,Weibes,Frau,word:Weib-Frau
Gen.11.31,115,118,115,118,das,die,grammar:Frau-determiner
Gen.11.31,119,123,119,123,Weib,Frau,word:Weib-Frau
Gen.12.1,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.12.4,24,30,24,32,Jehova,der HERR,name:subject-subordinate-clause
Gen.12.5,22,26,22,27,sein,seine,grammar:Frau-determiner
Gen.12.5,27,31,28,32,Weib,Frau,word:Weib-Frau
Gen.12.7,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.12.7,105,111,107,116,Jehova,dem HERRN,name:dative-altar-recipient
Gen.12.8,153,159,153,162,Jehova,dem HERRN,name:dative-altar-recipient
Gen.12.8,191,198,194,203,Jehovas,des HERRN,name:genitive
Gen.12.11,86,92,86,92,seinem,seiner,grammar:Frau-determiner
Gen.12.11,93,98,93,97,Weibe,Frau,word:Weib-Frau
Gen.12.11,122,125,121,125,daß,dass,orthography:wordlist
Gen.12.11,129,132,129,133,ein,eine,grammar:Frau-determiner
Gen.12.11,133,137,134,138,Weib,Frau,word:Weib-Frau
Gen.12.12,81,85,81,86,sein,seine,grammar:Frau-determiner
Gen.12.12,86,90,87,91,Weib,Frau,word:Weib-Frau
Gen.12.13,42,45,42,46,daß,dass,orthography:wordlist
Gen.12.14,66,69,66,70,daß,dass,orthography:wordlist
Gen.12.14,70,73,71,74,das,die,grammar:Frau-determiner
Gen.12.14,74,78,75,79,Weib,Frau,word:Weib-Frau
Gen.12.15,69,72,69,72,das,die,grammar:Frau-determiner
Gen.12.15,73,77,73,77,Weib,Frau,word:Weib-Frau
Gen.12.17,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.12.17,80,83,82,85,des,der,grammar:Frau-determiner
Gen.12.17,84,90,86,90,Weibes,Frau,word:Weib-Frau
Gen.12.18,105,108,105,109,daß,dass,orthography:wordlist
Gen.12.18,113,117,114,119,dein,deine,grammar:Frau-determiner
Gen.12.18,118,122,120,124,Weib,Frau,word:Weib-Frau
Gen.12.19,50,53,50,54,daß,dass,orthography:wordlist
Gen.12.19,66,69,67,70,zum,zur,grammar:Frau-determiner
Gen.12.19,70,75,71,75,Weibe,Frau,word:Weib-Frau
Gen.12.19,104,108,104,109,dein,deine,grammar:Frau-determiner
Gen.12.19,109,113,110,114,Weib,Frau,word:Weib-Frau
Gen.12.20,69,73,69,74,sein,seine,grammar:Frau-determiner
Gen.12.20,74,78,75,79,Weib,Frau,word:Weib-Frau
Gen.13.1,41,45,41,46,sein,seine,grammar:Frau-determiner
Gen.13.1,46,50,47,51,Weib,Frau,word:Weib-Frau
Gen.13.4,97,104,97,106,Jehovas,des HERRN,name:genitive
Gen.13.6,30,33,30,34,daß,dass,orthography:wordlist
Gen.13.8,24,27,24,28,Laß,Lass,orthography:wordlist
Gen.13.10,64,67,64,68,daß,dass,orthography:wordlist
Gen.13.10,99,105,100,108,Jehova,der HERR,name:subject-subordinate-clause
Gen.13.10,159,166,162,171,Jehovas,des HERRN,name:genitive
Gen.13.13,56,62,56,65,Jehova,dem HERRN,name:presence-before-Lord
Gen.13.14,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.13.16,60,63,60,64,daß,dass,orthography:wordlist
Gen.13.18,120,126,120,129,Jehova,dem HERRN,name:dative-altar-recipient
Gen.14.2,0,3,0,4,daß,dass,orthography:wordlist
Gen.14.14,21,24,21,25,daß,dass,orthography:wordlist
Gen.14.16,110,116,110,116,Weiber,Frauen,word:Weib-Frau
Gen.14.22,68,74,68,77,Jehova,dem HERRN,name:dative-preposition
Gen.14.23,98,101,98,102,daß,dass,orthography:wordlist
Gen.15.1,36,43,36,45,Jehovas,des HERRN,name:genitive
Gen.15.2,24,30,24,28,Jehova,HERR,name:unresolved-case
Gen.15.4,20,27,20,29,Jehovas,des HERRN,name:genitive
Gen.15.6,15,21,15,24,Jehova,dem HERRN,name:dative-verb
Gen.15.7,30,36,30,38,Jehova,der HERR,name:predicate-name
Gen.15.8,21,27,21,25,Jehova,HERR,name:unresolved-case
Gen.15.8,54,57,52,56,daß,dass,orthography:wordlist
Gen.15.13,24,33,24,34,Gewißlich,Gewisslich,orthography:wordlist
Gen.15.13,52,55,53,57,daß,dass,orthography:wordlist
Gen.15.18,24,30,24,32,Jehova,der HERR,name:subject-after-auxiliary
Gen.16.1,18,22,18,22,Weib,Frau,word:Weib-Frau
Gen.16.2,39,45,39,47,Jehova,der HERR,name:subject-before-finite-verb
Gen.16.2,69,72,71,75,daß,dass,orthography:wordlist
Gen.16.3,18,22,18,22,Weib,Frau,word:Weib-Frau
Gen.16.3,169,172,169,172,zum,zur,grammar:Frau-determiner
Gen.16.3,173,178,173,177,Weibe,Frau,word:Weib-Frau
Gen.16.4,67,70,67,71,daß,dass,orthography:wordlist
Gen.16.5,139,142,139,143,daß,dass,orthography:wordlist
Gen.16.5,202,208,203,211,Jehova,Der HERR,name:subject-before-finite-verb
Gen.16.7,14,21,14,23,Jehovas,des HERRN,name:genitive
Gen.16.9,14,21,14,23,Jehovas,des HERRN,name:genitive
Gen.16.10,14,21,14,23,Jehovas,des HERRN,name:genitive
Gen.16.10,72,75,74,78,daß,dass,orthography:wordlist
Gen.16.11,14,21,14,23,Jehovas,des HERRN,name:genitive
Gen.16.11,139,145,141,149,Jehova,der HERR,name:subject-before-finite-verb
Gen.16.13,14,20,14,18,Jehova,HERR,name:unresolved-case
Gen.16.13,76,80,74,79,läßt,lässt,orthography:wordlist
Gen.17.1,52,58,52,60,Jehova,der HERR,name:subject-after-auxiliary
Gen.17.13,8,17,8,18,gewißlich,gewisslich,orthography:wordlist
Gen.17.15,35,39,35,40,dein,deine,grammar:Frau-determiner
Gen.17.15,40,44,41,45,Weib,Frau,word:Weib-Frau
Gen.17.19,32,36,32,37,dein,deine,grammar:Frau-determiner
Gen.17.19,37,41,38,42,Weib,Frau,word:Weib-Frau
Gen.18.1,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.18.9,38,42,38,43,dein,deine,grammar:Frau-determiner
Gen.18.9,43,47,44,48,Weib,Frau,word:Weib-Frau
Gen.18.10,15,24,15,25,Gewißlich,Gewisslich,orthography:wordlist
Gen.18.10,85,89,86,91,dein,deine,grammar:Frau-determiner
Gen.18.10,90,94,92,96,Weib,Frau,word:Weib-Frau
Gen.18.11,89,95,89,95,Weiber,Frauen,word:Weib-Frau
Gen.18.13,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.18.14,8,14,8,17,Jehova,den HERRN,name:accusative-preposition
Gen.18.17,4,10,4,12,Jehova,der HERR,name:subject-before-finite-verb
Gen.18.18,18,27,18,28,gewißlich,gewisslich,orthography:wordlist
