ref,start,end,new_start,new_end,before,after,rule
Gen.1.27,103,106,103,107,ein,eine,grammar:Frau-determiner
Gen.1.27,107,111,108,112,Weib,Frau,word:Weib-Frau
Gen.2.4,84,88,84,88,HErr,HERR,name:Luther-divine-capitalization
Gen.2.5,134,138,134,138,HErr,HERR,name:Luther-divine-capitalization
Gen.2.7,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.2.8,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.2.9,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.2.15,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.2.16,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.2.18,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.2.19,18,22,18,22,HErr,HERR,name:Luther-divine-capitalization
Gen.2.21,17,21,17,21,HErr,HERR,name:Luther-divine-capitalization
Gen.2.22,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.2.22,24,27,24,28,ein,eine,grammar:Frau-determiner
Gen.2.22,28,32,29,33,Weib,Frau,word:Weib-Frau
Gen.2.24,54,60,54,60,seinem,seiner,grammar:Frau-determiner
Gen.2.24,61,66,61,65,Weibe,Frau,word:Weib-Frau
Gen.2.25,42,46,42,47,sein,seine,grammar:Frau-determiner
Gen.2.25,47,51,48,52,Weib,Frau,word:Weib-Frau
Gen.3.1,74,78,74,78,HErr,HERR,name:Luther-divine-capitalization
Gen.3.1,108,111,108,111,dem,der,grammar:Frau-determiner
Gen.3.1,112,117,112,116,Weibe,Frau,word:Weib-Frau
Gen.3.2,10,13,10,13,das,die,grammar:Frau-determiner
Gen.3.2,14,18,14,18,Weib,Frau,word:Weib-Frau
Gen.3.4,23,26,23,26,zum,zur,grammar:Frau-determiner
Gen.3.4,27,32,27,31,Weibe,Frau,word:Weib-Frau
Gen.3.6,4,7,4,7,das,die,grammar:Frau-determiner
Gen.3.6,8,12,8,12,Weib,Frau,word:Weib-Frau
Gen.3.8,37,42,37,42,HErrn,HERRN,name:Luther-divine-capitalization
Gen.3.8,123,129,123,129,seinem,seiner,grammar:Frau-determiner
Gen.3.8,130,135,130,134,Weibe,Frau,word:Weib-Frau
Gen.3.8,165,170,164,169,HErrn,HERRN,name:Luther-divine-capitalization
Gen.3.9,13,17,13,17,HErr,HERR,name:Luther-divine-capitalization
Gen.3.12,16,19,16,19,Das,Die,grammar:Frau-determiner
Gen.3.12,20,24,20,24,Weib,Frau,word:Weib-Frau
Gen.3.12,26,29,26,29,das,die,grammar:Frau-relative
