ref,start,word,kind,reason,context_before,context_after
Gen.1.27,107,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Gott schuf den Menschen ihm zum Bilde, zum Bilde Gottes schuf er ihn; und schuf sie einen Mann und ein Weib.","Und Gott schuf den Menschen ihm zum Bilde, zum Bilde Gottes schuf er ihn; und schuf sie einen Mann und eine Frau."
Gen.2.22,28,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Gott der HErr baute ein Weib aus der Rippe, die er vom Menschen nahm, und brachte sie zu ihm.","Und Gott der HERR baute eine Frau aus der Rippe, die er vom Menschen nahm, und brachte sie zu ihm."
Gen.2.24,61,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Darum wird ein Mann Vater und Mutter verlassen und an seinem Weibe hangen, und sie werden sein ein Fleisch.","Darum wird ein Mann Vater und Mutter verlassen und an seiner Frau hangen, und sie werden sein ein Fleisch."
Gen.2.25,47,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und sie waren beide nackt, der Mensch und sein Weib, und schämten sich nicht.","Und sie waren beide nackt, der Mensch und seine Frau, und schämten sich nicht."
Gen.3.1,112,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und die Schlange war listiger denn alle Tiere auf dem Felde, die Gott der HErr gemacht hatte, und sprach zu dem Weibe: Ja, sollte Gott gesagt haben: Ihr sollt nicht essen von allerlei Bäumen im Garten?","Und die Schlange war listiger denn alle Tiere auf dem Felde, die Gott der HERR gemacht hatte, und sprach zu der Frau: Ja, sollte Gott gesagt haben: Ihr sollt nicht essen von allerlei Bäumen im Garten?"
Gen.3.2,14,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Da sprach das Weib zu der Schlange: Wir essen von den Früchten der Bäume im Garten;,Da sprach die Frau zu der Schlange: Wir essen von den Früchten der Bäume im Garten;
Gen.3.4,27,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Da sprach die Schlange zum Weibe: Ihr werdet mitnichten des Todes sterben;,Da sprach die Schlange zur Frau: Ihr werdet mitnichten des Todes sterben;
Gen.3.6,8,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und das Weib schaute an, dass von dem Baum gut zu essen wäre und dass er lieblich anzusehen und ein lustiger Baum wäre, weil er klug machte; und sie nahm von der Frucht und aß und gab ihrem Mann auch davon, und er aß.","Und die Frau schaute an, dass von dem Baum gut zu essen wäre und dass er lieblich anzusehen und ein lustiger Baum wäre, weil er klug machte; und sie nahm von der Frucht und aß und gab ihrem Mann auch davon, und er aß."
Gen.3.8,130,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und sie hörten die Stimme Gottes des HErrn, der im Garten ging, da der Tag kühl geworden war. Und Adam versteckte sich mit seinem Weibe vor dem Angesicht Gottes des HErrn unter die Bäume im Garten.","Und sie hörten die Stimme Gottes des HERRN, der im Garten ging, da der Tag kühl geworden war. Und Adam versteckte sich mit seiner Frau vor dem Angesicht Gottes des HERRN unter die Bäume im Garten."
Gen.3.12,20,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Da sprach Adam: Das Weib, das du mir zugesellt hast, gab mir von dem Baum, und ich aß.","Da sprach Adam: Die Frau, die du mir zugesellt hast, gab mir von dem Baum, und ich aß."
