ref,start,end,new_start,new_end,before,after,rule
Gen.1.4,53,56,53,57,daß,dass,orthography:wordlist
Gen.1.10,100,103,100,104,daß,dass,orthography:wordlist
Gen.1.12,185,188,185,189,daß,dass,orthography:wordlist
Gen.1.18,112,115,112,116,daß,dass,orthography:wordlist
Gen.1.21,217,220,217,221,daß,dass,orthography:wordlist
Gen.1.25,166,169,166,170,daß,dass,orthography:wordlist
Gen.1.27,89,93,89,93,Weib,Frau,word:Weib-Frau
Gen.2.4,98,104,98,102,Jehova,HERR,name:unresolved-case
Gen.2.5,90,97,90,98,sproßte,sprosste,orthography:wordlist
Gen.2.5,104,110,105,113,Jehova,der HERR,name:subject-Lord-God
Gen.2.7,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.8,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.9,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.14,115,119,115,120,Fluß,Fluss,orthography:wordlist
Gen.2.15,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.16,22,28,22,30,Jehova,der HERR,name:subject-Lord-God
Gen.2.17,133,142,133,143,gewißlich,gewisslich,orthography:wordlist
Gen.2.18,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.18,44,47,46,50,daß,dass,orthography:wordlist
Gen.2.19,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.21,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.21,130,139,132,142,verschloß,verschloss,orthography:wordlist
Gen.2.22,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.2.22,81,84,83,87,ein,eine,grammar:Frau-determiner
Gen.2.22,85,89,88,92,Weib,Frau,word:Weib-Frau
Gen.2.24,77,83,77,83,seinem,seiner,grammar:Frau-determiner
Gen.2.24,84,89,84,88,Weibe,Frau,word:Weib-Frau
Gen.2.25,44,48,44,49,sein,seine,grammar:Frau-determiner
Gen.2.25,49,53,50,54,Weib,Frau,word:Weib-Frau
Gen.3.1,76,82,76,80,Jehova,HERR,name:unresolved-case
Gen.3.1,125,128,123,126,dem,der,grammar:Frau-determiner
Gen.3.1,129,134,127,131,Weibe,Frau,word:Weib-Frau
Gen.3.2,4,7,4,7,das,die,grammar:Frau-determiner
Gen.3.2,8,12,8,12,Weib,Frau,word:Weib-Frau
Gen.3.3,145,148,145,149,daß,dass,orthography:wordlist
Gen.3.4,28,31,28,31,dem,der,grammar:Frau-determiner
Gen.3.4,32,37,32,36,Weibe,Frau,word:Weib-Frau
Gen.3.5,20,23,20,24,daß,dass,orthography:wordlist
Gen.3.6,4,7,4,7,das,die,grammar:Frau-determiner
Gen.3.6,8,12,8,12,Weib,Frau,word:Weib-Frau
Gen.3.6,19,22,19,23,daß,dass,orthography:wordlist
Gen.3.6,53,56,54,58,daß,dass,orthography:wordlist
Gen.3.6,90,93,92,96,daß,dass,orthography:wordlist
Gen.3.7,70,73,70,74,daß,dass,orthography:wordlist
Gen.3.8,27,34,27,36,Jehovas,des HERRN,name:genitive
Gen.3.8,115,119,117,122,sein,seine,grammar:Frau-determiner
Gen.3.8,120,124,123,127,Weib,Frau,word:Weib-Frau
Gen.3.8,162,169,165,174,Jehovas,des HERRN,name:genitive
Gen.3.9,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.3.11,67,70,67,71,daß,dass,orthography:wordlist
Gen.3.12,34,37,34,37,Das,Die,grammar:Frau-determiner
Gen.3.12,38,42,38,42,Weib,Frau,word:Weib-Frau
Gen.3.12,45,48,45,48,das,die,grammar:Frau-relative
Gen.3.13,4,10,4,12,Jehova,der HERR,name:subject-Lord-God
Gen.3.13,27,30,29,32,dem,der,grammar:Frau-determiner
Gen.3.13,31,36,33,37,Weibe,Frau,word:Weib-Frau
Gen.3.13,66,69,67,70,das,die,grammar:Frau-determiner
Gen.3.13,70,74,71,75,Weib,Frau,word:Weib-Frau
Gen.3.14,22,28,22,30,Jehova,der HERR,name:subject-Lord-God
Gen.3.15,51,54,51,54,dem,der,grammar:Frau-determiner
Gen.3.15,55,60,55,59,Weibe,Frau,word:Weib-Frau
Gen.3.16,3,6,3,6,dem,der,grammar:Frau-determiner
