ref,start,word,kind,reason,context_before,context_after
Gen.1.27,89,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Gott schuf  den Menschen  in seinem Bilde , im Bilde Gottes schuf  er ihn; Mann  und Weib schuf  er sie.","Und Gott schuf  den Menschen  in seinem Bilde , im Bilde Gottes schuf  er ihn; Mann  und Frau schuf  er sie."
Gen.2.4,98,Jehova,divine-name-syntax,Subjekt/Objekt/Anrede ohne eindeutiges Regelsignal; Artikel und Kasus prüfen.,"Dies ist die  Geschichte des Himmels  und der Erde , als sie geschaffen  wurden, an dem Tage , da Jehova Gott Erde  und Himmel machte ,","Dies ist die  Geschichte des Himmels  und der Erde , als sie geschaffen  wurden, an dem Tage , da HERR Gott Erde  und Himmel machte ,"
Gen.2.22,85,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"und Jehova Gott baute  aus der Rippe , die er  von dem Menschen  genommen hatte, ein Weib , und er  brachte sie zu dem Menschen .","und der HERR Gott baute  aus der Rippe , die er  von dem Menschen  genommen hatte, eine Frau , und er  brachte sie zu dem Menschen ."
Gen.2.24,84,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Darum  wird ein Mann  seinen Vater  und seine Mutter verlassen  und seinem Weibe anhangen , und sie werden ein Fleisch  sein.","
        Darum  wird ein Mann  seinen Vater  und seine Mutter verlassen  und seiner Frau anhangen , und sie werden ein Fleisch  sein."
Gen.2.25,49,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und sie waren beide nackt , der Mensch  und sein Weib , und sie schämten  sich nicht.","Und sie waren beide nackt , der Mensch  und seine Frau , und sie schämten  sich nicht."
Gen.3.1,76,Jehova,divine-name-syntax,Subjekt/Objekt/Anrede ohne eindeutiges Regelsignal; Artikel und Kasus prüfen.,"
        Und  die Schlange war listiger  als alles Getier  des Feldes , das Jehova Gott  gemacht hatte ; und  sie sprach  zu dem Weibe : Hat Gott  wirklich gesagt : Ihr sollt nicht essen  von jedem Baume des Gartens?","
        Und  die Schlange war listiger  als alles Getier  des Feldes , das HERR Gott  gemacht hatte ; und  sie sprach  zu der Frau : Hat Gott  wirklich gesagt : Ihr sollt nicht essen  von jedem Baume des Gartens?"
Gen.3.1,129,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Und  die Schlange war listiger  als alles Getier  des Feldes , das Jehova Gott  gemacht hatte ; und  sie sprach  zu dem Weibe : Hat Gott  wirklich gesagt : Ihr sollt nicht essen  von jedem Baume des Gartens?","
        Und  die Schlange war listiger  als alles Getier  des Feldes , das HERR Gott  gemacht hatte ; und  sie sprach  zu der Frau : Hat Gott  wirklich gesagt : Ihr sollt nicht essen  von jedem Baume des Gartens?"
Gen.3.2,8,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Und das Weib sprach  zu der Schlange : Von der Frucht  der Bäume  des Gartens essen  wir;,Und die Frau sprach  zu der Schlange : Von der Frucht  der Bäume  des Gartens essen  wir;
Gen.3.4,32,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Und die Schlange sprach  zu dem Weibe : Mit nichten werdet ihr sterben !,Und die Schlange sprach  zu der Frau : Mit nichten werdet ihr sterben !
Gen.3.6,8,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und das Weib sah , daß der Baum gut  zur Speise  und daß er eine Lust  für die Augen  und daß der Baum  begehrenswert wäre, um Einsicht zu geben ; und sie nahm  von seiner Frucht  und aß , und sie gab auch  ihrem Manne  mit ihr, und er aß .","Und die Frau sah , dass der Baum gut  zur Speise  und dass er eine Lust  für die Augen  und dass der Baum  begehrenswert wäre, um Einsicht zu geben ; und sie nahm  von seiner Frucht  und aß , und sie gab auch  ihrem Manne  mit ihr, und er aß ."
Gen.3.8,120,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und sie hörten  die Stimme Jehovas Gottes , der  im Garten wandelte  bei der Kühle des Tages . Und der Mensch  und sein Weib  versteckten sich  vor dem Angesicht Jehovas Gottes  mitten unter  die Bäume  des Gartens.","Und sie hörten  die Stimme des HERRN Gottes , der  im Garten wandelte  bei der Kühle des Tages . Und der Mensch  und seine Frau  versteckten sich  vor dem Angesicht des HERRN Gottes  mitten unter  die Bäume  des Gartens."
Gen.3.12,38,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Und  der Mensch sprach : Das Weib , das du mir  beigegeben hast , sie gab  mir von dem Baume, und ich aß .","
        Und  der Mensch sprach : Die Frau , die du mir  beigegeben hast , sie gab  mir von dem Baume, und ich aß ."
Gen.3.13,31,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Jehova Gott sprach  zu dem Weibe : Was hast du da getan ! Und das Weib sprach : Die Schlange betrog  mich, und ich aß .","Und der HERR Gott sprach  zu der Frau : Was hast du da getan ! Und die Frau sprach : Die Schlange betrog  mich, und ich aß ."
Gen.3.13,70,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Jehova Gott sprach  zu dem Weibe : Was hast du da getan ! Und das Weib sprach : Die Schlange betrog  mich, und ich aß .","Und der HERR Gott sprach  zu der Frau : Was hast du da getan ! Und die Frau sprach : Die Schlange betrog  mich, und ich aß ."
Gen.3.15,55,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und ich werde Feindschaft setzen  zwischen dir und dem Weibe  und zwischen deinem Samen  und ihrem Samen ; er wird dir den Kopf  zermalmen, und du, du wirst ihm die Ferse  zermalmen.","Und ich werde Feindschaft setzen  zwischen dir und der Frau  und zwischen deinem Samen  und ihrem Samen ; er wird dir den Kopf  zermalmen, und du, du wirst ihm die Ferse  zermalmen."
Gen.3.16,7,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Zu dem Weibe sprach  er: Ich werde sehr mehren  die Mühsal deiner Schwangerschaft, mit Schmerzen  sollst du Kinder gebären ; und nach deinem Manne  wird dein Verlangen sein , er aber wird über dich herrschen.","Zu der Frau sprach  er: Ich werde sehr mehren  die Mühsal deiner Schwangerschaft, mit Schmerzen  sollst du Kinder gebären ; und nach deinem Manne  wird dein Verlangen sein , er aber wird über dich herrschen."
Gen.3.17,65,Weibes,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Und  zu Adam sprach er : Weil du auf die Stimme  deines Weibes  gehört und gegessen hast  von dem Baume, von dem ich dir geboten und gesprochen habe : Du sollst nicht davon essen , so sei der Erdboden verflucht  um deinetwillen: mit Mühsal sollst du davon essen  alle Tage  deines Lebens ;","
        Und  zu Adam sprach er : Weil du auf die Stimme  deiner Frau  gehört und gegessen hast  von dem Baume, von dem ich dir geboten und gesprochen habe : Du sollst nicht davon essen , so sei der Erdboden verflucht  um deinetwillen: mit Mühsal sollst du davon essen  alle Tage  deines Lebens ;"
Gen.3.20,27,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und der Mensch gab  seinem Weibe  den Namen Eva , denn sie war die Mutter  aller Lebendigen .","Und der Mensch gab  seiner Frau  den Namen Eva , denn sie war die Mutter  aller Lebendigen ."
Gen.3.21,40,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Und Jehova Gott machte Adam  und seinem Weibe Röcke  von Fell  und bekleidete sie.,Und der HERR Gott machte Adam  und seiner Frau Röcke  von Fell  und bekleidete sie.
Gen.4.1,45,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Und  der Mensch erkannte Eva , sein Weib , und  sie ward schwanger  und gebar Kain ; und sie sprach : Ich habe einen Mann  erworben mit Jehova .","
        Und  der Mensch erkannte Eva , seine Frau , und  sie ward schwanger  und gebar Kain ; und sie sprach : Ich habe einen Mann  erworben mit dem HERRN ."
Gen.4.17,24,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Kain erkannte  sein Weib , und sie  ward schwanger  und gebar Hanoch . Und er baute  eine Stadt  und benannte die Stadt  nach dem Namen  seines Sohnes Hanoch .","Und Kain erkannte  seine Frau , und sie  ward schwanger  und gebar Hanoch . Und er baute  eine Stadt  und benannte die Stadt  nach dem Namen  seines Sohnes Hanoch ."
