ref,start,end,new_start,new_end,before,after,rule
Gen.1.4,41,44,41,45,daß,dass,orthography:wordlist
Gen.1.7,95,98,95,99,daß,dass,orthography:wordlist
Gen.1.9,74,77,74,78,daß,dass,orthography:wordlist
Gen.1.10,94,97,94,98,daß,dass,orthography:wordlist
Gen.1.12,177,180,177,181,daß,dass,orthography:wordlist
Gen.1.15,38,41,38,42,daß,dass,orthography:wordlist
Gen.1.18,93,96,93,97,daß,dass,orthography:wordlist
Gen.1.21,197,200,197,201,daß,dass,orthography:wordlist
Gen.1.25,96,99,96,100,daß,dass,orthography:wordlist
Gen.2.2,3,6,3,7,daß,dass,orthography:wordlist
Gen.2.15,71,74,71,75,daß,dass,orthography:wordlist
Gen.2.17,116,120,116,121,mußt,musst,orthography:wordlist
Gen.2.18,44,47,44,48,daß,dass,orthography:wordlist
Gen.2.19,117,120,117,121,daß,dass,orthography:wordlist
Gen.2.21,122,131,122,132,verschloß,verschloss,orthography:wordlist
Gen.2.22,79,82,79,83,ein,eine,grammar:Frau-determiner
Gen.2.22,83,87,84,88,Weib,Frau,word:Weib-Frau
Gen.2.24,75,81,75,81,seinem,seiner,grammar:Frau-determiner
Gen.2.24,82,87,82,86,Weibe,Frau,word:Weib-Frau
Gen.2.24,98,101,97,101,daß,dass,orthography:wordlist
Gen.2.25,42,46,42,47,sein,seine,grammar:Frau-determiner
Gen.2.25,47,51,48,52,Weib,Frau,word:Weib-Frau
Gen.3.1,106,109,106,109,zum,zur,grammar:Frau-determiner
Gen.3.1,110,115,110,114,Weibe,Frau,word:Weib-Frau
Gen.3.2,10,13,10,13,das,die,grammar:Frau-determiner
Gen.3.2,14,18,14,18,Weib,Frau,word:Weib-Frau
Gen.3.4,23,26,23,26,zum,zur,grammar:Frau-determiner
Gen.3.4,27,32,27,31,Weibe,Frau,word:Weib-Frau
Gen.3.6,8,11,8,11,das,die,grammar:Frau-determiner
Gen.3.6,12,16,12,16,Weib,Frau,word:Weib-Frau
Gen.3.6,22,25,22,26,daß,dass,orthography:wordlist
Gen.3.6,62,65,63,67,daß,dass,orthography:wordlist
Gen.3.7,71,74,71,75,daß,dass,orthography:wordlist
Gen.3.8,115,119,115,120,sein,seine,grammar:Frau-determiner
Gen.3.8,120,124,121,125,Weib,Frau,word:Weib-Frau
Gen.3.11,34,37,34,38,daß,dass,orthography:wordlist
Gen.3.12,22,25,22,25,Das,Die,grammar:Frau-determiner
Gen.3.12,26,30,26,30,Weib,Frau,word:Weib-Frau
Gen.3.12,32,35,32,35,das,die,grammar:Frau-relative
Gen.3.13,24,27,24,27,zum,zur,grammar:Frau-determiner
Gen.3.13,28,33,28,32,Weibe,Frau,word:Weib-Frau
Gen.3.13,60,63,59,62,Das,Die,grammar:Frau-determiner
Gen.3.13,64,68,63,67,Weib,Frau,word:Weib-Frau
Gen.3.13,110,113,109,113,daß,dass,orthography:wordlist
Gen.3.15,49,52,49,52,dem,der,grammar:Frau-determiner
Gen.3.15,53,58,53,57,Weibe,Frau,word:Weib-Frau
Gen.3.16,4,7,4,7,zum,zur,grammar:Frau-determiner
Gen.3.16,8,13,8,12,Weibe,Frau,word:Weib-Frau
Gen.3.17,59,65,59,65,deines,deiner,grammar:Frau-determiner
Gen.3.17,66,72,66,70,Weibes,Frau,word:Weib-Frau
Gen.3.19,62,65,62,66,daß,dass,orthography:wordlist
Gen.3.20,16,20,16,21,sein,seine,grammar:Frau-determiner
