ref,start,word,kind,reason,context_before,context_after
Gen.2.22,83,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Gott der HERR baute aus der Rippe, die er von dem Menschen genommen hatte, ein Weib und brachte sie zu ihm.","Und Gott der HERR baute aus der Rippe, die er von dem Menschen genommen hatte, eine Frau und brachte sie zu ihm."
Gen.2.24,82,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Darum wird der Mensch seinen Vater und seine Mutter verlassen und seinem Weibe anhangen, daß sie zu einem Fleische werden.","
        Darum wird der Mensch seinen Vater und seine Mutter verlassen und seiner Frau anhangen, dass sie zu einem Fleische werden."
Gen.2.25,47,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und sie waren beide nackt, der Mensch und sein Weib, und schämten sich nicht.","Und sie waren beide nackt, der Mensch und seine Frau, und schämten sich nicht."
Gen.3.1,110,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Aber die Schlange war listiger als alle Tiere des Feldes, die Gott der HERR gemacht hatte; und sie sprach zum Weibe: Hat Gott wirklich gesagt, ihr dürft nicht essen von jedem Baum im Garten?","Aber die Schlange war listiger als alle Tiere des Feldes, die Gott der HERR gemacht hatte; und sie sprach zur Frau: Hat Gott wirklich gesagt, ihr dürft nicht essen von jedem Baum im Garten?"
Gen.3.2,14,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Da sprach das Weib zur Schlange: Wir essen von der Frucht der Bäume im Garten;,Da sprach die Frau zur Schlange: Wir essen von der Frucht der Bäume im Garten;
Gen.3.4,27,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Da sprach die Schlange zum Weibe: Ihr werdet sicherlich nicht sterben!,Da sprach die Schlange zur Frau: Ihr werdet sicherlich nicht sterben!
Gen.3.6,12,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Als nun das Weib sah, daß von dem Baume gut zu essen wäre und daß er eine Lust für die Augen und ein wertvoller Baum wäre, weil er klug machte, da nahm sie von dessen Frucht und aß und gab zugleich auch ihrem Mann davon, und er aß.","Als nun die Frau sah, dass von dem Baume gut zu essen wäre und dass er eine Lust für die Augen und ein wertvoller Baum wäre, weil er klug machte, da nahm sie von dessen Frucht und aß und gab zugleich auch ihrem Mann davon, und er aß."
Gen.3.8,120,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und sie hörten die Stimme Gottes, des HERRN, der im Garten wandelte beim Wehen des Abendwindes; und der Mensch und sein Weib versteckten sich vor dem Angesicht Gottes des HERRN hinter die Bäume des Gartens.","Und sie hörten die Stimme Gottes, des HERRN, der im Garten wandelte beim Wehen des Abendwindes; und der Mensch und seine Frau versteckten sich vor dem Angesicht Gottes des HERRN hinter die Bäume des Gartens."
Gen.3.12,26,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Da sprach der Mensch: Das Weib, das du mir zugesellt hast, die gab mir von dem Baum, und ich aß!","Da sprach der Mensch: Die Frau, die du mir zugesellt hast, die gab mir von dem Baum, und ich aß!"
Gen.3.13,28,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Da sprach Gott der HERR zum Weibe: Warum hast du das getan? Das Weib antwortete: Die Schlange verführte mich, daß ich aß!","Da sprach Gott der HERR zur Frau: Warum hast du das getan? Die Frau antwortete: Die Schlange verführte mich, dass ich aß!"
Gen.3.13,64,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Da sprach Gott der HERR zum Weibe: Warum hast du das getan? Das Weib antwortete: Die Schlange verführte mich, daß ich aß!","Da sprach Gott der HERR zur Frau: Warum hast du das getan? Die Frau antwortete: Die Schlange verführte mich, dass ich aß!"
Gen.3.15,53,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und ich will Feindschaft setzen zwischen dir und dem Weibe, zwischen deinem Samen und ihrem Samen; derselbe soll dir den Kopf zertreten, und du wirst ihn in die Ferse stechen.","Und ich will Feindschaft setzen zwischen dir und der Frau, zwischen deinem Samen und ihrem Samen; derselbe soll dir den Kopf zertreten, und du wirst ihn in die Ferse stechen."
Gen.3.16,8,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und zum Weibe sprach er: Ich will dir viele Schmerzen durch häufige Empfängnis bereiten; mit Schmerzen sollst du Kinder gebären; und du sollst nach deinem Manne verlangen, er aber soll herrschen über dich!","Und zur Frau sprach er: Ich will dir viele Schmerzen durch häufige Empfängnis bereiten; mit Schmerzen sollst du Kinder gebären; und du sollst nach deinem Manne verlangen, er aber soll herrschen über dich!"
Gen.3.17,66,Weibes,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und zu Adam sprach er: Dieweil du gehorcht hast der Stimme deines Weibes und von dem Baum gegessen, davon ich dir gebot und sprach: »Du sollst nicht davon essen«, verflucht sei der Erdboden um deinetwillen, mit Mühe sollst du dich davon nähren dein Leben lang;","Und zu Adam sprach er: Dieweil du gehorcht hast der Stimme deiner Frau und von dem Baum gegessen, davon ich dir gebot und sprach: »Du sollst nicht davon essen«, verflucht sei der Erdboden um deinetwillen, mit Mühe sollst du dich davon nähren dein Leben lang;"
Gen.3.20,21,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Und Adam nannte sein Weib Eva; denn sie wurde die Mutter aller Lebendigen.,Und Adam nannte seine Frau Eva; denn sie wurde die Mutter aller Lebendigen.
Gen.3.21,41,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Und Gott der HERR machte Adam und seinem Weibe Pelzröcke und bekleidete sie.,Und Gott der HERR machte Adam und seiner Frau Pelzröcke und bekleidete sie.
Gen.4.1,50,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Und 
        Adam 
        erkannte sein Weib Eva; sie aber empfing und gebar den Kain. Und sie sprach: Ich habe einen Mann bekommen mit der Hilfe des HERRN!","
        Und 
        Adam 
        erkannte seine Frau Eva; sie aber empfing und gebar den Kain. Und sie sprach: Ich habe einen Mann bekommen mit der Hilfe des HERRN!"
Gen.4.17,23,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Kain erkannte sein Weib; die empfing und gebar den Hanoch. Und da er eben eine Stadt baute, so nannte er sie nach seines Sohnes Namen Hanoch.","Und Kain erkannte seine Frau; die empfing und gebar den Hanoch. Und da er eben eine Stadt baute, so nannte er sie nach seines Sohnes Namen Hanoch."
Gen.4.25,23,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Und Adam erkannte sein Weib abermal; die gebar einen Sohn und nannte ihn Seth; denn Gott hat mir für Abel einen andern Samen gesetzt, weil Kain ihn umgebracht hat.","Und Adam erkannte seine Frau abermal; die gebar einen Sohn und nannte ihn Seth; denn Gott hat mir für Abel einen andern Samen gesetzt, weil Kain ihn umgebracht hat."
Gen.6.18,108,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Aber mit dir will ich meinen Bund aufrichten, und du sollst in die Arche gehen, du und deine Söhne und dein Weib und deiner Söhne Weiber mit dir.","Aber mit dir will ich meinen Bund aufrichten, und du sollst in die Arche gehen, du und deine Söhne und deine Frau und deiner Söhne Frauen mit dir."
Gen.7.7,58,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Er 
        ging aber samt seinen Söhnen, seinem Weib und seiner Söhne Weibern in die Arche vor dem Gewässer der Sündflut.","
        Er 
        ging aber samt seinen Söhnen, seiner Frau und seiner Söhne Frauen in die Arche vor dem Gewässer der Sündflut."
Gen.7.13,113,Weibe,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        An ebendemselben Tage war Noah in die Arche gegangen mit Sem, Ham und Japhet, seinen Söhnen, und seinem Weibe und den drei Weibern seiner Söhne;","
        An ebendemselben Tage war Noah in die Arche gegangen mit Sem, Ham und Japhet, seinen Söhnen, und seiner Frau und den drei Frauen seiner Söhne;"
Gen.8.16,31,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"Geh aus der Arche, du und dein Weib und deine Söhne und deiner Söhne Weiber mit dir!","Geh aus der Arche, du und deine Frau und deine Söhne und deiner Söhne Frauen mit dir!"
Gen.8.18,52,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,Also ging Noah hinaus samt seinen Söhnen und seinem Weib und seiner Söhne Weibern.,Also ging Noah hinaus samt seinen Söhnen und seiner Frau und seiner Söhne Frauen.
Gen.11.29,52,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Abram aber und Nahor nahmen Weiber; Abrams Weib hieß Sarai, Nahors Weib hieß Milka, eine Tochter Harans, des Vaters der Milka und der Jisla.","
        Abram aber und Nahor nahmen Frauen; Abrams Frau hieß Sarai, Nahors Frau hieß Milka, eine Tochter Harans, des Vaters der Milka und der Jisla."
Gen.11.29,76,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Abram aber und Nahor nahmen Weiber; Abrams Weib hieß Sarai, Nahors Weib hieß Milka, eine Tochter Harans, des Vaters der Milka und der Jisla.","
        Abram aber und Nahor nahmen Frauen; Abrams Frau hieß Sarai, Nahors Frau hieß Milka, eine Tochter Harans, des Vaters der Milka und der Jisla."
Gen.11.31,125,Weib,gender-agreement,Nominalgruppe regelbasiert angepasst; längere Pronomenbezüge/Satzkongruenz prüfen.,"
        Und Terach nahm seinen Sohn Abram, dazu den Lot, Harans Sohn, seinen Enkel, auch Sarai, seine Schwiegertochter, das Weib seines Sohnes Abram, und sie zogen miteinander aus von Ur in Chaldäa, um ins Land Kanaan zu gehen. Als sie aber nach Haran kamen, blieben sie daselbst.","
        Und Terach nahm seinen Sohn Abram, dazu den Lot, Harans Sohn, seinen Enkel, auch Sarai, seine Schwiegertochter, die Frau seines Sohnes Abram, und sie zogen miteinander aus von Ur in Chaldäa, um ins Land Kanaan zu gehen. Als sie aber nach Haran kamen, blieben sie daselbst."
